LBRRY_CD,LBRRY_NM,LBRRY_LA,LBRRY_LO,OPNNG_TIME,CLOSEDON_DC
1500,면암중앙도서관,37.9053026,127.206376,"종합자료실(평일 09:00~22:00 / 주말 09:00~18:00), 어린이자료실(평일/주말 09:00~18:00), 학습실(3~11월 09:00~24:00 / 12~2월 09:00~23:00)","법정공휴일, 근로자의 날"
1501,소흘도서관,37.8296046,127.1375338,"종합자료실(평일 09:00~22:00 / 주말 09:00~18:00), 어린이자료실(평일/주말 09:00~18:00), 학습실(3~11월 09:00~24:00 / 12~2월 09:00~23:00)","근로자의날, 법정공휴일"
1502,일동도서관,37.9549363,127.3154556,"평일 09:00~22:00, 주말 09:00~18:00","근로자의 날, 법정공휴일"
1503,영중꿈나무도서관,38.0056285,127.2453024,"평일 09:00~18:00, 주말 09:00~18:00","매주 일요일, 월요일 / 근로자의날, 법정공휴일"
1504,영북도서관,38.0876825,127.2741705,"종합자료실(평일 09:00~20:00 / 주말 09:00~18:00), 어린이자료실(평일/주말 09:00~18:00), 학습실(평일/주말 09:00~22:00)","매주 월요일 / 근로자의날, 법정공휴일"
1505,가산도서관,37.8484029,127.186356,"종합자료실(평일 09:00~20:00 / 주말 09:00~18:00), 어린이자료실(평일/주말 09:00~18:00), 학습실(평일 09:00~20:00 / 주말 09:00~18:00)","매주 월요일 / 근로자의날, 법정공휴일"
2200,통영시립도서관,34.8618204,128.424713,"평일(화~금) 09:00~22:00(아동·유아자료실은 21:00까지), 주말(토,일) 09:00~18:00",매주 월요일 / 법정공휴일
2201,꿈이랑도서관,34.8028677,128.393474,"평일(화~금) 09:00~22:00, 주말(토,일) 09:00~18:00",매주 월요일 / 법정공휴일
2202,통영시립욕지도서관,34.6367834,128.263369,09:00~18:00,매주 월요일 / 법정공휴일
2203,통영시립충무도서관,34.8732994,128.420478,"평일(월~목) 09:00~22:00(아동&middot;유아자료실은 21:00까지), 주말(토,일) 09:00~18:00",매주 금요일 / 법정공휴일
1700,원주시립중앙도서관,37.3263503,127.9533323,"[자료실] 09:00~18:00 (종합자료실, 어린이자료실은 평일 09:00~22:00 연장), [열람실] 07:00~22:00","매월 마지막주 월요일(그외 월요일은 자료실만 휴관) / 법정공휴일, 관장이 특별히 지정 공고하는 날"
1703,원주시립미리내도서관,37.3536617,127.9431874,"일반자료실 평일 09:00~22:00, 주말 09:00~18:00 / 어린이자료실 평일,주말 09:00~18:00",매주 금요일 / 법정공휴일
1800,포항시립대잠도서관,36.0191816,129.3432983,09:00~18:00,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일, 법정공휴일과 겹친 일요일"
1802,포항시립영암도서관,36.0127761,129.357763,9시~18시(열람실 포함),"매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일, 법정공휴일과 겹친 일요일"
1803,포항시립포은중앙도서관,36.0437354,129.3673931,09:00~22:00(주말 ~18:00),"매월 첫번째, 세번째 월요일 / 일요일을 제외한 공휴일(단, 공휴일과 겹친 일요일 휴관)"
1804,포항시립포은오천도서관,35.9686415,129.416446,09:00 ~ 18:00,"매월 첫째주, 셋째주 월요일 / 토요일, 일요일을 제외한 법정공휴일"
1805,포항시립동해석곡도서관,35.9908951,129.437424,-,"매월 둘째, 넷째 월요일 / 토요일, 일요일을 제외한 법정공휴일"
1808,해도동 바다섬작은도서관,36.0194979,129.370468,평일 10:00 ~ 17:00,"매주 월요일, 일요일 / 법정공휴일"
1809,양학동 부학작은도서관,36.02547,129.35056,-,"매주 월요일, 일요일 / 법정공휴일"
1810,신광면 비학산작은도서관,36.1298718,129.261625,-,"매주 월요일, 일요일 / 법정공휴일"
1811,두호동 두무치작은도서관,36.0574535,129.374743,-,"매주 월요일, 일요일 / 법정공휴일"
1812,청림동 푸른숲작은도서관,35.9926071,129.410481,-,"매주 월요일, 일요일 / 법정공휴일"
1813,효곡동 행복작은도서관,36.0061655,129.332913,10:00~18:00(12:00~13:00점심시간),"매주 월요일, 일요일 / 법정공휴일"
1814,오천읍 해와달작은도서관,35.96402,129.4016,-,"매주 월요일, 일요일 / 법정공휴일"
1815,장량동 참사랑작은도서관,36.0825892,129.3775857,-,"매주 월요일, 일요일 / 법정공휴일"
1816,상대동 큰섬마을작은도서관,36.0233368,129.364019,-,"매주 월요일, 일요일 / 법정공휴일"
1817,연일읍 미르작은도서관,36.00766,129.32019,-,"매주 토요일, 일요일 / 법정공휴일"
1818,대송면 큰솔작은도서관,35.97817,129.36225,-,"매주 월요일, 일요일 / 법정공휴일"
1819,죽도동 청암작은도서관,36.03312,129.36951,-,"매주 토요일, 일요일 / 법정공휴일"
1820,효곡동 그린숲작은도서관,36.0297139,129.32309,-,"매주 월요일, 일요일 / 법정공휴일"
1821,송도동 솔향작은도서관,36.0389457,129.376003,-,"매주 월요일, 일요일 / 법정공휴일"
1822,오천읍 그루터기작은도서관,35.96289,129.4115,-,"매주 월요일, 일요일 / 법정공휴일"
1823,환여동 해맞이꿈터작은도서관,36.0699147,129.39142,-,"매주 월요일, 일요일 / 법정공휴일"
1824,기계면 버드내작은도서관,36.0704002,129.20648,-,"매주 월요일, 일요일 / 법정공휴일"
